2026-02-12 10:30:33.246 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-12 10:30:33.265 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-12 10:30:33.265 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 983 ms
2026-02-12 10:30:33.303 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-12 10:30:33.312 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-12 10:30:33.437 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@2e26173
2026-02-12 10:30:33.438 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-12 10:30:33.438 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-12 10:30:33.520 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:30:33.543 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.011s)
2026-02-12 10:30:33.546 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:30:33.548 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:30:33.551 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-12 10:30:33.639 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-12 10:30:33.709 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-12 10:30:33.929 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:30:33.931 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-12 10:30:33.932 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:30:33.932 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:30:34.081 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-12 10:30:34.097 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.426 seconds (process running for 2.842)
2026-02-12 10:30:34.315 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-12 10:30:34.316 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-12 10:30:34.317 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2026-02-12 10:30:34.686 [tomcat-handler-11] INFO  c.n.backend.service.IndexingService - Indexing folder: Test images
2026-02-12 10:30:34.687 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 20 files using Virtual Threads...
2026-02-12 10:30:34.687 [virtual-81] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 6 files using Virtual Threads...
2026-02-12 10:30:34.692 [virtual-81] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:30:34.692 [virtual-79] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:35:39.490 [tomcat-handler-48] INFO  c.n.backend.service.IndexingService - Indexing folder: Art by me
2026-02-12 10:35:39.491 [virtual-170] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 11 files using Virtual Threads...
2026-02-12 10:35:39.492 [virtual-170] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:35:39.536 [virtual-171] INFO  c.n.backend.service.UserDataManager - Detected file move: C:/Downloads/Test images/00047-281793503.jpeg -> D:/AI/Art by me/00047-281793503.jpeg
2026-02-12 10:35:39.548 [virtual-171] INFO  c.n.backend.service.UserDataManager - Detected file move: C:/Downloads/Test images/115626293.png -> D:/AI/Art by me/115626293.png
2026-02-12 10:36:12.572 [tomcat-handler-55] INFO  c.n.b.controller.FolderController - Requesting children for path: C:\
2026-02-12 10:36:14.532 [tomcat-handler-56] INFO  c.n.b.controller.FolderController - Requesting children for path: D:\
2026-02-12 10:36:29.822 [tomcat-handler-57] INFO  c.n.b.controller.FolderController - Requesting children for path: D:/Bilder
2026-02-12 10:36:54.467 [tomcat-handler-58] INFO  c.n.b.controller.SystemController - Shutdown request received via API.
2026-02-12 10:36:54.981 [Thread-1] INFO  c.n.b.controller.SystemController - Closing application context...
2026-02-12 10:36:54.988 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown initiated...
2026-02-12 10:36:54.995 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown completed.
2026-02-12 10:39:25.078 [main] INFO  c.nilsson.backend.BackendApplication - Starting BackendApplication v0.0.1-SNAPSHOT using Java 21.0.9 with PID 29364 (C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\target\backend-0.0.1-SNAPSHOT.jar started by error in C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend)
